# LUNAR TRIGGER DEBUG LOG
# rmb_held = Right Mouse (aim); lmb_held = Left Mouse (fire). raw 0x8000 = key down. Aim only moves when rmb_held=1; trigger fires when locked and lmb_held=0.
# ---
[17:22:46.751] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:47.786] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:48.806] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:49.838] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:50.889] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:51.937] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:52.962] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:53.990] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:54.005] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:55.023] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:56.073] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:57.117] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:22:58.126] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:00.142] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:01.170] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:02.181] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:03.210] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:04.225] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:05.240] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:06.288] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:07.322] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:08.325] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:09.358] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:10.379] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:11.441] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:12.487] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:13.508] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:14.675] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:15.686] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:16.761] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:17.772] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:18.912] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:19.924] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:20.930] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:21.962] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:22.008] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:23.022] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:24.043] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:25.101] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:26.116] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:28.143] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:29.203] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:30.237] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:31.254] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:32.311] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:33.344] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:34.359] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:35.398] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:36.452] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:37.476] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:38.496] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:39.518] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:40.565] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:41.575] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:42.613] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:43.662] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:44.705] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:45.746] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:46.768] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:47.814] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:48.816] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:49.826] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:50.829] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:51.922] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:52.937] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:53.975] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:54.995] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:55.030] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:56.040] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:57.045] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:58.046] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:23:59.072] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:00.110] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:02.141] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:03.156] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:04.169] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:05.187] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:06.236] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:07.275] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:08.284] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:09.316] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:10.343] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:11.391] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:12.405] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:13.434] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:14.446] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:15.468] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:16.477] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:17.479] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:18.509] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:19.522] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:20.561] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:21.621] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:22.670] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:23.671] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:24.724] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:25.746] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:26.774] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:27.787] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:28.835] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:29.879] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:30.899] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:31.940] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:32.978] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:33.982] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:35.179] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:36.482] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:37.626] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:38.665] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:39.678] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:40.734] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:41.749] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:42.779] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:43.787] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:44.816] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:45.834] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:46.876] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:47.881] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:48.997] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:49.039] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:50.078] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:51.115] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:52.129] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:53.136] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:55.176] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:56.208] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:57.222] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:58.268] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:24:59.287] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:00.331] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:01.356] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:02.389] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:03.427] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:04.461] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:05.506] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:06.546] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:07.558] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
[17:25:08.579] [keys] LMB=0x0000 (bit15=down) RMB=0x0000 | rmb_held=False lmb_held=False
